ID,NOME,CPF,TURMA
310,Fábio Pereira,160.527.805-09,2
311,Raul Carvalho,814.700.183-57,8
312,Isabelly Souza,208.032.371-70,7
313,Melissa Albuquerque Jr.,728.026.521-92,2
314,Isabelly Oliveira,378.244.236-97,7
315,Cecília Nogueira,823.112.658-90,3
316,Helena Moraes,756.100.364-10,6
317,Frederico Melo,530.037.133-53,7
318,Isabella Macedo,751.213.516-58,10
319,Valentina Pereira,320.768.434-34,2
320,Srta. Rafael Costa,043.072.043-28,8
321,Maria Carvalho,665.404.112-78,7
322,Célia Saraiva,447.348.566-80,10
323,Lorraine Costa,717.741.066-04,6
324,Hugo Carvalho Filho,867.183.661-45,8
325,João Moraes Jr.,330.827.222-96,8
326,Meire Macedo,105.831.572-20,10
327,Félix Pereira Jr.,724.266.233-81,2
328,Dr. Maria Júlia Oliveira,048.807.585-82,10
329,Maria Albuquerque,627.300.650-40,3
330,Ana Luiza Moraes,355.784.824-81,8
331,Alícia Macedo,321.365.865-05,3
332,Alexandre Souza,542.721.500-06,5
333,Lívia Moreira,178.328.063-89,5
334,Beatriz Nogueira,472.137.185-33,8
335,Rafaela Santos,635.747.601-32,6
336,Calebe Oliveira,366.045.633-08,1
337,Leonardo Santos,554.033.283-00,10
338,Alícia Albuquerque,042.713.834-57,1
339,Deneval Batista,560.363.662-99,1
340,Fábio Nogueira,845.702.745-01,2
341,Fabrícia Barros,085.677.682-33,4
342,Esther Franco,553.881.416-59,4
343,Maria Alice Reis,447.453.615-05,8
344,Silas Santos,862.013.152-41,5
345,Laura Santos,346.110.112-59,2
346,Fabiano Batista,272.116.268-36,6
347,Noah Carvalho,422.451.131-28,4
348,Sra. Ana Júlia Oliveira,422.150.446-32,3
349,Maria Júlia Xavier,708.540.472-80,5
350,Maria Helena Xavier,513.657.645-67,9
351,Núbia Carvalho,632.176.810-37,5
352,Nataniel Braga,806.477.661-91,3
353,Lavínia Moreira,441.851.304-30,8
354,Fabrício Martins,185.572.280-15,1
355,Eduardo Souza,484.125.807-88,7
356,Deneval Braga,002.402.243-88,6
357,Dr. Maria Helena Silva,552.380.181-00,10
358,Henrique Costa,016.747.575-49,5
359,Maria Clara Costa Neto,516.013.841-22,9
360,Ladislau Carvalho,308.071.556-08,9
361,Sirineu Xavier Jr.,881.711.420-01,4
362,Heitor Braga,714.054.258-90,8
363,Noah Batista,054.385.827-85,1
364,João Carvalho,183.457.065-41,9
365,Alícia Albuquerque,546.532.847-92,7
366,Ana Clara Carvalho,655.101.311-28,2
367,Aline Nogueira,436.627.701-80,5
368,Isaac Santos,203.324.505-54,4
369,Feliciano Souza,461.303.632-14,8
370,Bruna Moraes,030.631.643-99,7
371,Miguel Macedo,828.248.565-99,8
372,Maitê Moreira,028.861.246-99,10
373,Sr. Lucca Albuquerque,540.021.486-02,4
374,Eduardo Pereira,705.151.570-58,1
375,Sr. Valentina Braga,546.278.204-70,8
376,Srta. Célia Braga,325.367.233-64,5
377,Calebe Saraiva,555.755.112-35,8
378,Maria Cecília Moreira,746.047.587-43,7
379,Srta. Eduarda Xavier,024.067.800-15,4
380,Eduarda Reis,673.552.785-25,3
381,Júlio César Reis,735.675.646-33,1
382,Alexandre Melo,507.320.730-06,10
383,Enzo Braga,174.301.777-43,5
384,Larissa Barros,653.066.438-68,3
385,Sirineu Santos,048.316.372-46,8
386,Lívia Moreira,500.817.552-10,3
387,Marcelo Costa,541.137.538-06,6
388,Yago Souza,031.443.184-50,1
389,Felícia Carvalho,342.454.455-80,5
390,Lucca Moreira,847.368.602-00,5
391,Lívia Franco,176.058.134-81,8
392,Enzo Gabriel Moraes,378.221.083-28,10
393,Fabrício Pereira,053.266.424-84,8
394,Ana Clara Franco,225.460.032-08,3
395,Caio Carvalho Neto,753.346.046-42,7
396,Eduarda Braga,387.056.708-29,2
397,Giovanna Carvalho,288.758.804-41,3
398,Ladislau Oliveira,546.270.065-27,5
399,Deneval Melo Neto,388.812.035-70,5
400,Marina Silva,371.832.504-74,9
401,Srta. Meire Franco,576.062.805-41,6
402,Janaína Macedo,362.418.851-89,6
403,Deneval Martins,580.472.871-76,7
404,Carlos Carvalho,486.346.357-08,6
405,Dalila Batista Filho,546.537.254-03,3
406,João Lucas Barros,485.160.205-76,3
407,Félix Pereira,173.656.542-79,3
408,Lorena Barros,325.743.017-57,2
409,Giovanna Barros,474.242.301-15,5
410,Meire Oliveira Filho,406.518.281-63,9
411,Washington Melo,267.565.305-50,6
412,Lucca Carvalho,463.878.655-30,8
413,Marina Souza,576.287.621-74,1
414,Maitê Xavier,174.114.548-18,6
415,Gúbio Batista,751.524.207-83,4
416,Eduarda Albuquerque Filho,835.404.276-60,9
417,Luiza Moraes,783.405.546-11,6
418,Dra. Isabella Carvalho,883.188.631-27,10
419,Samuel Carvalho Filho,413.610.584-39,8
420,Sr. Lorraine Carvalho,681.163.545-23,2
421,Maria Eduarda Reis,440.250.842-87,9
422,Valentina Braga,667.254.753-37,9
423,Isabella Pereira Jr.,880.116.405-00,2
424,Roberta Barros,508.638.630-60,5
425,Célia Barros,624.056.048-09,7
426,Pablo Albuquerque,883.173.415-69,6
427,Pedro Henrique Carvalho,570.641.422-01,5
428,Sílvia Martins,647.073.163-52,5
429,Liz Souza,117.074.424-95,4
430,Janaína Xavier,410.064.814-60,10
431,Sra. Isabela Souza,857.301.685-00,4
432,Isabel Albuquerque,332.412.561-89,6
433,João Miguel Moraes,847.344.728-07,6
434,Morgana Moreira,183.880.524-97,7
435,Sra. Mércia Melo,518.063.826-79,10
436,Fábio Macedo,837.513.867-34,9
437,Lara Santos,533.101.548-40,4
438,João Miguel Carvalho,043.206.445-14,7
439,Pedro Albuquerque,838.304.176-40,10
440,Noah Oliveira,843.601.068-07,10
441,Davi Santos,786.347.461-27,8
442,Srta. Antonella Saraiva,464.781.788-11,10
443,Rafaela Pereira,748.328.227-48,3
444,Vicente Moreira,482.620.373-08,3
445,Arthur Batista,128.632.880-24,6
446,Marcos Martins Neto,385.507.652-95,2
447,Lucas Nogueira Neto,661.452.403-85,7
448,Sra. Roberto Santos,121.213.481-82,4
449,Maria Luiza Souza,643.578.841-36,10
450,Rafaela Franco,831.776.867-85,8
451,Cauã Silva,418.623.133-85,1
452,Eduarda Martins Jr.,527.234.002-71,6
453,Célia Braga,566.178.034-69,7
454,Natália Reis,762.827.076-09,9
455,Heitor Reis,332.001.142-15,10
456,Pietro Nogueira,022.462.556-00,2
457,Aline Franco,057.767.244-49,4
458,Maria Cecília Moraes,034.748.758-09,5
459,Eduarda Barros,774.785.867-16,8
460,Helena Saraiva,753.561.237-79,7
461,Deneval Franco Jr.,258.426.471-41,2
462,Warley Pereira,501.335.346-77,3
463,Sr. Ricardo Braga,457.536.105-44,5
464,Esther Santos Filho,872.504.612-81,10
465,Margarida Costa,177.883.770-07,10
466,Suélen Melo,867.144.110-57,1
467,Maria Júlia Souza,722.855.657-71,3
468,Alice Moraes,355.575.182-40,8
469,João Miguel Oliveira,336.377.358-73,8
470,João Lucas Oliveira,833.310.462-21,1
471,Warley Macedo,261.840.012-72,2
472,Isis Oliveira,237.765.786-96,5
473,Eduardo Braga,501.885.716-12,1
474,Dr. João Lucas Albuquerque,086.104.607-20,10
475,Deneval Macedo,251.557.166-24,8
476,Miguel Braga,673.356.103-46,5
477,Luiza Nogueira,626.145.832-43,6
478,Dr. Eduardo Barros,876.117.677-04,2
479,Larissa Saraiva Filho,616.784.731-20,4
480,Aline Albuquerque,677.218.400-90,10
481,Sara Moraes,023.038.234-71,1
482,Janaína Moraes Jr.,465.448.066-84,4
483,Sarah Nogueira,826.750.746-91,7
484,Roberta Carvalho,705.158.214-38,8
485,Pietro Souza,175.348.844-38,3
486,Davi Moraes,147.722.163-83,3
487,Dra. Rafaela Souza,666.272.584-63,10
488,Larissa Batista,768.480.133-31,7
489,Murilo Braga,333.164.323-88,9
490,Meire Oliveira Jr.,446.284.282-04,6
491,Liz Nogueira,442.832.474-05,7
492,Henrique Souza,607.166.828-00,8
493,Karla Moreira,634.220.611-26,4
494,Maria Batista,646.275.871-63,1
495,João Lucas Macedo,061.852.688-92,7
496,Srta. Gúbio Batista,064.028.554-64,3
497,Ígor Santos,314.252.615-31,2
498,Maria Eduarda Souza,641.403.188-72,6
499,Alice Carvalho,268.380.086-02,1
500,Nicolas Moraes,357.356.748-70,9
